지역,온도,습도
강릉,6.4,37
강진군,6.1,54
강화,1.9,66
거제,7.8,45
거창,3.9,60
경주시,6.2,52
고산,7.5,70
고창,4.9,54
고창군,5.0,64
고흥,5.9,63
광양시,6.3,53
광주,4.5,78
구미,3.6,54
군산,3.5,82
금산,3.0,72
김해시,7.7,46
남원,2.4,83
남해,6.2,49
대관령,-3.1,74
대구,5.5,46
대전,3.3,62
동두천,-0.4,75
동해,5.8,38
목포,5.3,64
문경,1.8,62
밀양,7.4,42
백령도,3.8,51
보령,4.3,68
보성군,5.0,76
보은,1.7,75
봉화,0.0,66
부산,7.7,41
부안,4.6,73
부여,4.6,69
북강릉,5.7,33
북부산,8.2,48
북창원,8.0,41
북춘천,0.3,74
산청,4.2,57
상주,2.0,64
서귀포,8.1,53
서산,3.8,62
서울,1.5,67
서청주,2.8,67
성산,7.4,54
세종,3.4,61
속초,5.7,33
수원,3.0,57
순창군,3.8,68
순천,3.9,61
안동,2.9,57
양산시,8.3,43
양평,0.9,70
여수,6.1,52
영광군,5.1,56
영덕,4.2,49
영월,-0.4,74
영주,0.4,67
영천,4.7,55
완도,6.6,57
울릉도,3.9,81
울산,6.2,42
울진,6.9,42
원주,-0.4,72
의령군,5.9,35
의성,4.5,53
이천,2.3,73
인제,-0.8,75
인천,2.5,65
임실,1.3,90
장수,1.0,75
장흥,6.0,61
전주,3.1,82
정선군,-0.7,62
정읍,3.9,77
제주,8.2,59
제천,-0.8,74
진도군,6.0,62
진주,7.3,46
창원,7.9,41
천안,3.2,70
철원,-1.3,79
청송군,2.6,62
청주,3.0,64
추풍령,0.8,66
춘천,0.7,68
충주,0.4,70
태백,-0.2,57
통영,8.8,41
파주,0.9,67
포항,5.9,43
함양군,3.9,56
합천,6.3,46
해남,5.9,59
홍성,4.6,61
홍천,-0.1,68
흑산도,6.0,64
